"","Location","MidPeriod","AgeGrpStart","AgeGrpSpan","qx","ex"
"227","Lower-middle-income countries",2068,25,5,0.00562559,53.1556
"228","Lower-middle-income countries",2068,30,5,0.00662832,48.4418
"229","Lower-middle-income countries",2068,35,5,0.00843223,43.7478
"230","Lower-middle-income countries",2068,40,5,0.01128943,39.0976
"231","Lower-middle-income countries",2068,45,5,0.0162365,34.5139
"232","Lower-middle-income countries",2068,50,5,0.02447848,30.0396
"233","Lower-middle-income countries",2068,55,5,0.0370405,25.7264
"234","Lower-middle-income countries",2068,60,5,0.05666299,21.6135
"235","Lower-middle-income countries",2068,65,5,0.08838449,17.7516
"236","Lower-middle-income countries",2068,70,5,0.13953839,14.2156
"237","Lower-middle-income countries",2068,75,5,0.21717102,11.0924
"238","Lower-middle-income countries",2068,80,5,0.32561552,8.4485
"239","Lower-middle-income countries",2068,85,5,0.46301664,6.3055
"240","Lower-middle-income countries",2068,90,5,0.61467627,4.6491
"241","Lower-middle-income countries",2068,95,5,0.75466767,3.4297
"242","Lower-middle-income countries",2068,100,-1,NA,2.5733
"243","Lower-middle-income countries",2073,0,1,0.01377775,76.3693
"244","Lower-middle-income countries",2073,1,4,0.00525851,76.435
"245","Lower-middle-income countries",2073,5,5,0.00277108,72.8308
"246","Lower-middle-income countries",2073,10,5,0.00219526,68.0269
"247","Lower-middle-income countries",2073,15,5,0.00320621,63.171
"248","Lower-middle-income countries",2073,20,5,0.00457432,58.3657
"249","Lower-middle-income countries",2073,25,5,0.00535933,53.622
"250","Lower-middle-income countries",2073,30,5,0.00631265,48.8971
"251","Lower-middle-income countries",2073,35,5,0.00802598,44.1913
"252","Lower-middle-income countries",2073,40,5,0.01075906,39.5277
"253","Lower-middle-income countries",2073,45,5,0.01548432,34.9289
"254","Lower-middle-income countries",2073,50,5,0.02332132,30.4364
"255","Lower-middle-income countries",2073,55,5,0.03521376,26.0995
"256","Lower-middle-income countries",2073,60,5,0.05397957,21.9547
"257","Lower-middle-income countries",2073,65,5,0.0846552,18.0551
"258","Lower-middle-income countries",2073,70,5,0.1342706,14.4794
"259","Lower-middle-income countries",2073,75,5,0.20981971,11.3147
"260","Lower-middle-income countries",2073,80,5,0.316148,8.6276
"261","Lower-middle-income countries",2073,85,5,0.45218098,6.4427
"262","Lower-middle-income countries",2073,90,5,0.60413259,4.7487
"263","Lower-middle-income countries",2073,95,5,0.74628072,3.4983
"264","Lower-middle-income countries",2073,100,-1,NA,2.6181
"265","Lower-middle-income countries",2078,0,1,0.01300605,76.9472
"266","Lower-middle-income countries",2078,1,4,0.00487278,76.96
"267","Lower-middle-income countries",2078,5,5,0.00258658,73.3292
"268","Lower-middle-income countries",2078,10,5,0.00206145,68.5135
"269","Lower-middle-income countries",2078,15,5,0.00303984,63.6498
"270","Lower-middle-income countries",2078,20,5,0.0043585,58.8358
"271","Lower-middle-income countries",2078,25,5,0.00510867,54.082
"272","Lower-middle-income countries",2078,30,5,0.00600541,49.3465
"273","Lower-middle-income countries",2078,35,5,0.00763321,44.629
"274","Lower-middle-income countries",2078,40,5,0.01024474,39.9522
"275","Lower-middle-income countries",2078,45,5,0.01475859,35.3384
"276","Lower-middle-income countries",2078,50,5,0.02222149,30.8279
"277","Lower-middle-income countries",2078,55,5,0.03355351,26.4679
"278","Lower-middle-income countries",2078,60,5,0.05145526,22.2942
"279","Lower-middle-income countries",2078,65,5,0.08096598,18.3587
"280","Lower-middle-income countries",2078,70,5,0.12911726,14.7418
"281","Lower-middle-income countries",2078,75,5,0.20268235,11.5346
"282","Lower-middle-income countries",2078,80,5,0.30702154,8.8034
"283","Lower-middle-income countries",2078,85,5,0.44180573,6.5761
"284","Lower-middle-income countries",2078,90,5,0.59410685,4.8443
"285","Lower-middle-income countries",2078,95,5,0.73837714,3.563
"286","Lower-middle-income countries",2078,100,-1,NA,2.6596
"287","Lower-middle-income countries",2083,0,1,0.01232514,77.5032
"288","Lower-middle-income countries",2083,1,4,0.00451846,77.4694
"289","Lower-middle-income countries",2083,5,5,0.00241936,73.8139
"290","Lower-middle-income countries",2083,10,5,0.00194459,68.9874
"291","Lower-middle-income countries",2083,15,5,0.00289514,64.1169
"292","Lower-middle-income countries",2083,20,5,0.00416031,59.2954
"293","Lower-middle-income countries",2083,25,5,0.00487658,54.5322
"294","Lower-middle-income countries",2083,30,5,0.00572014,49.7869
"295","Lower-middle-income countries",2083,35,5,0.007264,45.0585
"296","Lower-middle-income countries",2083,40,5,0.00976286,40.369
"297","Lower-middle-income countries",2083,45,5,0.01407475,35.741
"298","Lower-middle-income countries",2083,50,5,0.02118325,31.2132
"299","Lower-middle-income countries",2083,55,5,0.03196794,26.831
"300","Lower-middle-income countries",2083,60,5,0.04916866,22.6289
"301","Lower-middle-income countries",2083,65,5,0.07745983,18.6608
"302","Lower-middle-income countries",2083,70,5,0.12406646,15.0042
"303","Lower-middle-income countries",2083,75,5,0.1957183,11.7535
"304","Lower-middle-income countries",2083,80,5,0.29815501,8.9775
"305","Lower-middle-income countries",2083,85,5,0.43176934,6.707
"306","Lower-middle-income countries",2083,90,5,0.58445878,4.9371
"307","Lower-middle-income countries",2083,95,5,0.73083289,3.6249
"308","Lower-middle-income countries",2083,100,-1,NA,2.6985
"309","Lower-middle-income countries",2088,0,1,0.0117172,78.0505
"310","Lower-middle-income countries",2088,1,4,0.00418728,77.975
"311","Lower-middle-income countries",2088,5,5,0.00225721,74.2963
"312","Lower-middle-income countries",2088,10,5,0.00183098,69.4592
"313","Lower-middle-income countries",2088,15,5,0.00275837,64.582
"314","Lower-middle-income countries",2088,20,5,0.00397637,59.7533
"315","Lower-middle-income countries",2088,25,5,0.00465527,54.9814
"316","Lower-middle-income countries",2088,30,5,0.00544643,50.2266
"317","Lower-middle-income countries",2088,35,5,0.00690568,45.4875
"318","Lower-middle-income countries",2088,40,5,0.00929247,40.7856
"319","Lower-middle-income countries",2088,45,5,0.0134167,36.1434
"320","Lower-middle-income countries",2088,50,5,0.02018549,31.5987
"321","Lower-middle-income countries",2088,55,5,0.0304429,27.1947
"322","Lower-middle-income countries",2088,60,5,0.04691085,22.9648
"323","Lower-middle-income countries",2088,65,5,0.07415977,18.9634
"324","Lower-middle-income countries",2088,70,5,0.11913536,15.269
"325","Lower-middle-income countries",2088,75,5,0.18889381,11.9747
"326","Lower-middle-income countries",2088,80,5,0.28942382,9.1534
"327","Lower-middle-income countries",2088,85,5,0.4218268,6.8394
"328","Lower-middle-income countries",2088,90,5,0.5748389,5.0308
"329","Lower-middle-income countries",2088,95,5,0.72327106,3.6871
"330","Lower-middle-income countries",2088,100,-1,NA,2.7374
"331","Lower-middle-income countries",2093,0,1,0.01117792,78.5868
"332","Lower-middle-income countries",2093,1,4,0.00388502,78.4742
"333","Lower-middle-income countries",2093,5,5,0.00210264,74.7742
"334","Lower-middle-income countries",2093,10,5,0.00172321,69.927
"335","Lower-middle-income countries",2093,15,5,0.00263015,65.0433
"336","Lower-middle-income countries",2093,20,5,0.00380636,60.2078
"337","Lower-middle-income countries",2093,25,5,0.00444822,55.4279
"338","Lower-middle-income countries",2093,30,5,0.00518472,50.6642
"339","Lower-middle-income countries",2093,35,5,0.00656525,45.9147
"340","Lower-middle-income countries",2093,40,5,0.00883934,41.2009
"341","Lower-middle-income countries",2093,45,5,0.01278252,36.5448
"342","Lower-middle-income countries",2093,50,5,0.01924164,31.9835
"343","Lower-middle-income countries",2093,55,5,0.02900638,27.5586
"344","Lower-middle-income countries",2093,60,5,0.04479005,23.3021
"345","Lower-middle-income countries",2093,65,5,0.07102297,19.2691
"346","Lower-middle-income countries",2093,70,5,0.11452198,15.5385
"347","Lower-middle-income countries",2093,75,5,0.1823071,12.2041
"348","Lower-middle-income countries",2093,80,5,0.28068676,9.34
"349","Lower-middle-income countries",2093,85,5,0.41145,6.9835
"350","Lower-middle-income countries",2093,90,5,0.56429854,5.1361
"351","Lower-middle-income countries",2093,95,5,0.7145165,3.7598
"352","Lower-middle-income countries",2093,100,-1,NA,2.7849
"353","Lower-middle-income countries",2098,0,1,0.01069274,79.119
"354","Lower-middle-income countries",2098,1,4,0.00360386,78.9733
"355","Lower-middle-income countries",2098,5,5,0.00195615,75.2533
"356","Lower-middle-income countries",2098,10,5,0.00162148,70.3963
"357","Lower-middle-income countries",2098,15,5,0.00250605,65.5065
"358","Lower-middle-income countries",2098,20,5,0.00364214,60.6644
"359","Lower-middle-income countries",2098,25,5,0.00425251,55.8767
"360","Lower-middle-income countries",2098,30,5,0.00493622,51.1044
"361","Lower-middle-income countries",2098,35,5,0.00623759,46.3451
"362","Lower-middle-income countries",2098,40,5,0.00840356,41.6196
"363","Lower-middle-income countries",2098,45,5,0.01216793,36.9499
"364","Lower-middle-income countries",2098,50,5,0.01832728,32.3722
"365","Lower-middle-income countries",2098,55,5,0.0276251,27.9267
"366","Lower-middle-income countries",2098,60,5,0.04275013,23.6442
"367","Lower-middle-income countries",2098,65,5,0.06803961,19.5805
"368","Lower-middle-income countries",2098,70,5,0.11010367,15.8151
"369","Lower-middle-income countries",2098,75,5,0.17586237,12.4424
"370","Lower-middle-income countries",2098,80,5,0.27192403,9.5366
"371","Lower-middle-income countries",2098,85,5,0.40073982,7.138
"372","Lower-middle-income countries",2098,90,5,0.55305599,5.2511
"373","Lower-middle-income countries",2098,95,5,0.70483402,3.8408
"374","Lower-middle-income countries",2098,100,-1,NA,2.8391
